Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),DistrictHeating:HVAC [J](Hourly),DistrictCooling:HVAC [J](Hourly) 
 01/13  19:00:00,9024981.084971462,0.0,9024981.084971462,0.0 
 01/13  20:00:00,9099726.086135678,0.0,9099726.086135678,0.0 
 01/13  21:00:00,9922368.418032263,0.0,9922368.418032265,0.0 
 01/13  22:00:00,10206892.419446152,0.0,10206892.419446152,0.0 
 01/13  23:00:00,10526402.362125144,0.0,10526402.362125144,0.0 
 01/13  24:00:00,11039587.220001292,0.0,11039587.22000129,0.0 
 01/14  01:00:00,11262626.903322284,0.0,11262626.903322285,0.0 
 01/14  02:00:00,11487807.373192074,0.0,11487807.373192074,0.0 
 01/14  03:00:00,11666162.338893502,0.0,11666162.3388935,0.0 
 01/14  04:00:00,11852570.812369928,0.0,11852570.812369928,0.0 
 01/14  05:00:00,12047949.481445047,0.0,12047949.481445045,0.0 
 01/14  06:00:00,12249491.642141518,0.0,12249491.642141514,0.0 
 01/14  07:00:00,11824815.93920465,0.0,11824815.93920465,0.0 
 01/14  08:00:00,11408544.26961838,0.0,11408544.269618385,0.0 
 01/14  09:00:00,11884660.433971378,0.0,11884660.433971376,0.0 
 01/14  10:00:00,11297144.689155203,0.0,11297144.689155199,0.0 
 01/14  11:00:00,10218656.332423639,0.0,10218656.33242364,0.0 
 01/14  12:00:00,8680865.623708003,0.0,8680815.039048769,0.0 
 01/14  13:00:00,8056813.078092486,0.0,8056813.078092486,0.0 
 01/14  14:00:00,7942235.360516956,0.0,7942235.360516958,0.0 
 01/14  15:00:00,7484666.066843891,0.0,7484652.207826123,0.0 
 01/14  16:00:00,7267906.969667338,0.0,7267906.969667338,0.0 
 01/14  17:00:00,7222604.499575673,0.0,7222597.247156254,0.0 
 01/14  18:00:00,7621852.658405179,0.0,7621852.658405179,0.0 
 01/14  19:00:00,8239975.471155538,0.0,8239975.471155538,0.0 
 01/14  20:00:00,8298536.886454944,0.0,8298536.886454944,0.0 
 01/14  21:00:00,9056218.33397713,0.0,9056218.33397713,0.0 
 01/14  22:00:00,9283131.870172218,0.0,9283131.870172218,0.0 
 01/14  23:00:00,9607672.296080482,0.0,9607672.296080482,0.0 
 01/14  24:00:00,10235163.413594153,0.0,10235163.413594153,0.0 
 01/15  01:00:00,10454546.913351307,0.0,10454546.913351307,0.0 
 01/15  02:00:00,10653807.9426451,0.0,10653807.942645103,0.0 
 01/15  03:00:00,10840493.55196365,0.0,10840493.55196365,0.0 
 01/15  04:00:00,11020166.511396599,0.0,11020166.511396599,0.0 
 01/15  05:00:00,11128840.739278274,0.0,11128840.739278272,0.0 
 01/15  06:00:00,10809964.7518423,0.0,10809964.751842298,0.0 
 01/15  07:00:00,11257963.506086003,0.0,11257963.506086003,0.0 
 01/15  08:00:00,10794272.884966279,0.0,10794272.884966279,0.0 
 01/15  09:00:00,11065466.602911964,0.0,11065466.602911968,0.0 
 01/15  10:00:00,10189835.278924883,0.0,10189835.278924883,0.0 
 01/15  11:00:00,8762356.48695645,0.0,8762356.486956448,0.0 
 01/15  12:00:00,7846401.894053487,0.0,7846329.688857115,0.0 
 01/15  13:00:00,9503128.02114959,0.0,9503128.02114959,0.0 
 01/15  14:00:00,8963383.0445449,0.0,8963383.0445449,0.0 
 01/15  15:00:00,8152447.939628455,0.0,8152411.8249787739,0.0 
 01/15  16:00:00,8088662.158871405,0.0,8088662.158871406,0.0 
 01/15  17:00:00,8352278.2795140859,0.0,8352213.064521473,0.0 
 01/15  18:00:00,8825695.235829618,0.0,8825695.235829618,0.0 
 01/15  19:00:00,7444476.736283407,0.0,7444476.736283406,0.0 
 01/15  20:00:00,5418272.445349998,0.0,5418272.445349997,0.0 
 01/15  21:00:00,6091509.946000261,0.0,6091509.946000261,0.0 
 01/15  22:00:00,6221706.29320546,0.0,6221706.2932054609,0.0 
 01/15  23:00:00,6382633.631164532,0.0,6382633.631164531,0.0 
 01/15  24:00:00,6902006.502266128,0.0,6902006.502266128,0.0 
 01/16  01:00:00,6907440.047016366,0.0,6907440.047016365,0.0 
 01/16  02:00:00,6811810.635619549,0.0,6811810.635619549,0.0 
 01/16  03:00:00,6883446.580180896,0.0,6883446.580180896,0.0 
 01/16  04:00:00,6970015.400785836,0.0,6970015.400785836,0.0 
 01/16  05:00:00,7103387.946243165,0.0,7103387.946243167,0.0 
 01/16  06:00:00,7255307.594019563,0.0,7255307.594019563,0.0 
 01/16  07:00:00,6734403.57968524,0.0,6734403.57968524,0.0 
 01/16  08:00:00,6250856.651460677,0.0,6250856.651460679,0.0 
 01/16  09:00:00,6740027.197595353,0.0,6740027.197595352,0.0 
 01/16  10:00:00,5867257.569061449,0.0,5867257.569061448,0.0 
 01/16  11:00:00,8404504.582501036,0.0,8404536.390871529,0.0 
 01/16  12:00:00,6876773.316942972,0.0,6876852.884181274,0.0 
